,entity,description
0,Abhimanyu,son of Arjuna and Subhadra; husband of Uttarai; father of Parikshit
1,Agni,fire-god.
2,Airavata,elephant vehicle of the god Indra.
3,Amba,daughter of the king of Kashi; later reincarnated as Shikhandin.
4,Ambalika,daughter of the king of Kashi; wife of Vichitravirya; mother of Pandu.
5,Ambika,daughter of the king of Kashi; wife of Vichitravirya; mother of Dhritarashtra.
6,Amravati,"region of heaven associated with music, dancing, and other pleasures."
7,Anga,ancient kingdom in eastern India.
8,Angaraparna,gandharva whom the Pandavas encountered in their exile.
9,apsaras,celestial beings of great beauty associated with music and dancing.
10,Arjuna,one of the five Pandava brothers; son of Kunti and the storm-god Indra.
11,ashrams,hermitages; the secluded homes of holy people.
12,Ashwapati,king of Madra; father of Savitri.
13,Ashwasena,"naga; son of Takshaka, king of the nagas."
14,Ashwatthama,son of Drona.
15,Ashwins,twin gods of healing and of the dawn; divine fathers of Nakula and Sahadeva.
16,Astika,son of a rishi and a naga-woman.
17,astras,celestial weapons imbued with the powers of gods or natural forces.
18,asuras,"supernatural beings of great power, often opposed to devas or humans."
19,avatar,"earthly incarnation (""descent"") of a god or goddess."
20,Ayodhya,capital of the kingdom of Kosala; home of Rama.
21,Baka,asura who tormented the village of Ekachakra.
22,Balarama,elder brother of Krishna; he used both a mace and a plow as weapons.
23,Barbarika,son of Bhima and a naga-woman.
24,Bhagadatta,king who fought on the Kaurava side in the Kurukshetra War.
25,Bhagavad-Gita,God-Song that Krishna recited to Arjuna before the battle of Kurukshetra.
26,Bharadwaja,rishi; father of Drona; guru to the young Drupada.
27,Bhima,one of the five Pandava brothers; son of Kunti and the wind-god Vayu.
28,Bhishma,son of Shantanu and the goddess Ganga; great-uncle to the Pandavas.
29,Bhudevi,goddess of the earth.
30,Brahma,god of creation; one of the supreme divinities with Vishnu and Shiva.
31,Brahmastra,Brahma-weapon; celestial weapon able to destroy the world.
32,brahmins,members of the priestly class.
33,Brihannala,identity used by Arjuna when disguised as a dance-teacher in Virata's court.
34,Chedi,Indian kingdom to the south of the Yamuna river.
35,Chiranjivi,"""Immortals"" who will live until the end of the world-cycle."
36,Chitrangada,son of Shantanu and Satyavati; elder brother of Vichitravirya.
37,Chitrangada,gandharva with the same name as the son of Shantanu and Satyavati.
38,Damayanti,princess who married King Nala.
39,Dasharatha,king of Ayodhya; father of Rama whose story is told in the Ramayana.
40,devas,"divine beings, gods."
41,Devavrata,"birth name of Bhishma, son of Shantanu and the goddess Ganga."
42,dharma,that which is right and true; duty; justice.
43,Dhrishtadyumna,fire-born son of Drupada; brother of Draupadi.
44,Dhritarashtra,blind son of Vyasa and Ambika; husband of Gandhari.
45,Draupadi,fire-born daughter of Drupada; wife of the five Pandavas.
46,Drona,son of Bharadwaja; guru to the Kauravas and the Pandavas.
47,Drupada,"king of Panchala; father of Draupadi, Dhrishtadyumna, and Shikhandin."
48,Duhshala,daughter of Gandhari and Dhritarashtra; wife of Jayadratha.
49,Durjaya,son of Duryodhana; his story is told in Bhasa's play Urubhangam.
50,Durvasa,rishi notorious for his bad temper.
51,Duryodhana,eldest son of Dhritarashtra and Gandhari; leader of the Kaurava armies.
52,Dushasana,son of Dhritarashtra and Gandhari; younger brother of Duryodhana.
53,Dvapara Yuga,"third age of the world; following the Treta Yuga, preceding the Kali Yuga."
54,Dwaraka,ancient city on the western coast of India; home to Krishna.
55,Ekachakra,village in western India visited by the Pandavas.
56,Ekalavya,forest-dweller who sought to study archery under Drona.
57,Gandhara,kingdom in northern India.
58,Gandhari,"wife of Dhritarashtra; mother of one hundred sons, including Duryodhana."
59,gandharvas,celestial musicians who are also messengers between gods and humans.
60,Gandiva,bow of Arjuna made by the god Brahma.
61,Ganesha,elephant-headed god; he wrote the Mahabharata as Vyasa dictated.
62,Ganga,goddess of the river Ganga; wife of Shantanu; mother of Bhishma.
63,Ganges,sacred river brought to earth by the goddess Ganga.
64,Ghatotkacha,rakshasa; son of Bhima and Hidimbi.
65,Granthika,identity used by Nakula when disguised as a horse-trainer in Virata's court.
66,guru,"teacher, guide, expert."
67,Hanuman,"monkey-son of Vayu, god of the wind; loyal follower of Rama."
68,Hastinapura,capital city of the Kuru Kingdom.
69,Hidimba,rakshasa; brother of Hidimbi.
70,Hidimbi,rakshasi; wife of Bhima; mother of Ghatotkacha.
71,Hiranyavarna,king of Dasharna; his daughter was betrothed to Shikhandin.
72,Indra,god of storms and the sky; divine father of Arjuna.
73,Indraloka,Indra's-Place; region of heaven (Svarga) that is also called Amravati.
74,Indraprastha,capital city of the kingdom of the Pandavas.
75,Iravan,son of Arjuna and Ulupi.
76,Jaimini,disciple of Vyasa; a version of the Mahabharata is attributed to him.
77,Janamejaya,king of Hastinapura; son of Parikshit.
78,Jara,hunter who shot Krishna.
79,jaya,"Sanskrit word meaning ""victory."""
80,Jayadratha,king of Sindhu; husband of Duhshala.
81,Kali,"goddess; manifestation of Shakti, divine energy."
82,Kali Yuga,fourth (and worst) age of the world; follows the Dvapara Yuga.
83,Kalpataru,wish-fulfilling tree in Amravati.
84,Kanka,identity used by Yudhishthira when disguised as a brahmin in Virata's court.
85,karma,action; chain of action and consequence.
86,Karna,son of Kunti and the sun-god Surya.
87,Kashi,ancient kingdom of India with its capital at Varanasi (Benares).
88,Kashya,"king of Kashi; father of Amba, Ambika, and Ambalika."
89,Kauravas,"descendants of Kuru; more specifically, Duryodhana and his brothers."
90,Khandava-prastha,forest wilderness given to the Pandavas as their kingdom.
91,Kichaka,general of the armies of King Virata; brother of Queen Sudeshna.
92,Kindama,rishi of the forest who was able to take the form of a deer.
93,Kishkindha,legendary kingdom of the monkeys (vanaras) in the epic Ramayana.
94,Kripa,adopted son of King Shantanu; brother-in-law of Drona; Ashwatthama's uncle.
95,Krishna,eighth avatar of the god Vishnu; brother of Balarama and of Subhadra.
96,Kritavarma,Yadava warrior who fought for the Kauravas during the war.
97,kshatriyas,warriors; one of the four ancient Indian social classes.
98,Kubera,Lord of Wealth; chief of the yakshas.
99,Kunti,"wife of Pandu; mother of Yudhishthira, Bhima, and Arjuna, and also Karna."
100,Kuru,ancient ancestor of both Dhritarashtra and Pandu.
101,Kurukshetra,"""Kuru-Field"" where the armies of the Kauravas and Pandavas fought."
102,Lakshmana,brother of Rama who accompanied him in exile; his story is told in the Ramayana.
103,Madra,ancient kingdom located in north-west India.
104,Madri,wife of Pandu; mother of Nakula and Sahadeva; sister of Shalya.
105,Mahabharata,one of two main epics of ancient India (the other being the Ramayana).
106,Mahabhisha,king who ascended to Indra's heaven; he was reborn as King Shantanu.
107,Maitreya,wandering rishi who visited the Pandavas in the forest.
108,Mandavya,rishi wrongly accused of a crime who curses Yama.
109,mantra,sacred words or sounds used in meditation and also used to control astras (weapons).
110,Matsya,ancient kingdom of northern India.
111,Matsyagandha,Fish-Smell; a nickname given to Satyavati when she was young.
112,Mayasura,asura; he built a palace for the Pandavas at Indraprastha.
113,Meru,sacred mountain at the center of the world.
114,Mohini,"female avatar of the god Vishnu; as Mohini, Krishna married Iravan."
115,Moudgalya,"rishi; husband of Nalayani, who was Draupadi in a previous lifetime."
116,nagas,divine snake-beings with supernatural powers.
117,Nahusha,king who took Indra's place as king of heaven and then lost that place.
118,Nakula,one of the five Pandava brothers; twin of Sahadeva; son of Madri and the Ashwins.
119,Nala,king who lost his kingdom in a gambling match; husband of Damayanti.
120,Nalayani,wife of Moudgalya; Draupadi in a previous lifetime.
121,Narada,"a divine rishi who likes to tell stories, share wisdom, and sometimes stir up trouble."
122,Naraka,a place in the afterlife for the expiation of wrongdoing before rebirth.
123,Narayana-astra,a celestial weapon with the power of Narayana (Vishnu).
124,Pandavas,"sons of Pandu: Yudhishthira, Bhima, Arjuna, Nakula, and Sahadeva."
125,Pandu,pale son of Vyasa and Ambalika; husband of Kunti and Madri.
126,Parashara,"rishi; father of Satyavati's son, Vyasa."
127,Parashurama,Axe-Rama; brahmin-warrior regarded as the sixth avatar of Vishnu.
128,Parikshit,son of Abhimanyu and Uttarai; father of Janamejaya.
129,Pashupata,powerful astra (weapon) which Arjuna received from Shiva.
130,Prabhasa,"one of the Vasus, incarnated as Bhishma."
131,Prativindhya,son of Yudhishthira and Draupadi; eldest of the Upapandavas.
132,Purochana,Duryodhana's agent in Varanavati.
133,Pururavas,ancient ancestor of the Kurus and Pandavas; husband of the apsara Urvashi.
134,rakshasas,"shape-shifting supernatural beings, often hostile to both gods and humans."
135,Rama,hero of the epic Ramayana; considered to be the seventh avatar of Vishnu.
136,Ravana,king of the rakshasas; enemy of Rama; his story is told in the Ramayana.
137,rishis,"enlightened persons, sages."
138,Sahadeva,one of the five Pandava brothers; twin of Nakula; son of Madri and the Ashwins.
139,Sahasranama,"""Thousand-Names"" recitation of the thousand names of a deity."
140,Sairandhri,identity used by Draupadi disguised as a servant in Virata's court.
141,Samanta Panchaka,five lakes created by the blood of kshatriyas killed by Parashurama.
142,Samba,son of Krishna.
143,samshaptaka,oath sworn by warriors to be victorious or die in battle.
144,Sanjaya,charioteer and adviser to King Dhritarashtra.
145,Saptarishis,Seven Rishis (Seven Sages).
146,sari,a cloth drape worn as women's clothing.
147,Sarpa Satra,serpent sacrifice intended to kill all the snakes of the earth.
148,Satyaki,Yadava warrior; he fought for the Pandavas during the war.
149,Satyavan,son of a king who lost his kingdom; husband of Savitri.
150,Satyavati,"wife of Shantanu; mother of Chitrangada, Vichitravirya, and also of Vyasa."
151,Savitri,princess of Madra; she chose Satyavan to be her husband.
152,Shachi,consort of the god Indra.
153,Shakti-spear,"weapon given by Indra to Karna, powered by Shakti."
154,Shakuni,brother of Gandhari; maternal uncle of Duryodhana.
155,Shalva,"lover of Amba; king of Shalva, a kingdom in western India."
156,Shalya,king of Madra; brother of Madri; uncle of Nakula and Sahadeva.
157,Shantanu,king of Hastinapura; husband of Ganga and of Satyavati; father of Bhishma.
158,Shatanika,son of Nakula and Draupadi.
159,Shesha-Naga,cosmic naga on whom Vishnu rests; Balarama is his avatar.
160,Shikhandin,"son of King Drupada; born as Drupada's daughter, he was Amba reborn."
161,Shikhandini,"daughter born to King Drupada; later a man, Shikhandin."
162,Shishupala,king of Chedi; cousin of Krishna.
163,Shiva,god of destruction; one of the supreme divinities with Brahma and Vishnu.
164,Shrutakarma,son of Arjuna and Draupadi; youngest of the Upapandavas.
165,Shrutasena,son of Sahadeva and Draupadi.
166,Shurasena,"Yadava ruler; father of Kunti and Vasudeva, Krishna's father."
167,Sindhu,kingdom of northern India on the Sindhu (Indus) river.
168,Sita,princess of Mithila who married Rama; her story is told in the Ramayana.
169,Sthuna,yaksha who exchanged gender with Shikhandini; he became Sthuni.
170,Sthuni,yakshini; formerly the yaksha Sthuna.
171,Subala,king of Gandhara; father of Gandhari and Shakuni.
172,Subhadra,sister of Krishna; wife of Arjuna; mother of Abhimanyu.
173,Sudarshana-Chakra,supernatural discus used as a weapon by Krishna and Vishnu.
174,Sudeshna,wife of Virata; mother of Uttara and Uttarai.
175,Sughada,mother of Yuyutsu; maid of Gandhari.
176,Sugriva,brother of Vali; king of the monkeys of Kishkindha; ally of Rama.
177,Sunda,asura; brother of Upasunda; lover of the apsara Tilottama.
178,sura,alcoholic beverage.
179,Surya,sun-god; father of Karna.
180,Susharman,king of Trigarta; ally of Duryodhana.
181,Sutasoma,son of Bhima and Draupadi.
182,swayamvara,ceremony in which a woman chooses her groom from competing suitors.
183,Takshaka,king of the nagas; he killed King Parikshit.
184,Tantipala,identity used by Sahadeva disguised as a cow-herd in Virata's court.
185,Tilottama,apsara created by Brahma to entrap Sunda and Upasunda.
186,Treta Yuga,"second age of the world; following the Satya Yuga, preceding the Treta Yuga."
187,Trigarta,ancient kingdom in northern India.
188,Uluka,son of Shakuni; Ghandaran warrior.
189,Ulupi,naga princess; wife of Arjuna; mother of Iravan.
190,Upapandavas,sons of the Pandavas with Draupadi.
191,Uparichara,king; father of Satyavati and her twin brother Matsya.
192,Upasunda,asura; brother of Sunda; lover of the apsara Tilottama.
193,Urvashi,apsara in Indra's heaven; wife of Pururavas.
194,Uttara,son of Virata and Sudeshna.
195,Uttarai,"daughter of Virata and Sudeshna; wife of Abhimanyu (also spelled Uttaraa, Uttari)."
196,Uttarayana,"""North-Journey"" which the sun begins after the winter solstice."
197,Vaikuntha,heavenly abode of VIshnu.
198,Vaishampayana,disciple of Vyasa; he recited the Mahabharata to Janamejaya.
199,Vali,king of the monkeys of Kishkindha; his story is told in the Ramayana.
200,Vallabha,identity used by Bhima while disguised as a cook in Virata's court.
201,Varaha,boar; the boar incarnation of Vishnu.
202,Varanavata,town in northern India where the Pandavas lived in the house of lacquer.
203,Vashishtha,rishi; owner of the wish-granting cow.
204,Vasuki,king of the nagas; he welcomed Bhima in the land of the nagas.
205,Vasus,eight gods representing the elements.
206,Vayu,wind-god; divine father of Bhima and of Hanuman.
207,Vedas,ancient holy scriptures.
208,Vichitravirya,son of Shantanu and Satyavati; elder brother of Chitrangada.
209,Vidura,son of Vyasa and Ambalika's servant; brother of Dhritarashtra and Pandu.
210,Vikarna,one of the hundred sons of Gandhari and Dhritarashtra.
211,Virata,king of Matsya; husband of Sudeshna; father of Uttarai.
212,Vishnu,god of preservation; one of the supreme divinities with Brahma and Shiva.
213,Vishnu-astra,cosmic weapon imbued with the power of Vishnu; also called Vaishnavastra.
214,Vyasa,son of Satyavati and the rishi Parashara; composer of the Vedas.
215,Yadavas,"descendants of Yadu; Krishna was a Yadava, as were Kritavarma and Satyaki."
216,Yadu,son of Yayati; ancestor of the Yadavas.
217,yakshas,"spirits of mountains, woods, and lakes."
218,yakshinis,female yakshas.
219,Yama,god of death and of dharma; divine father of Yudhishthira.
220,Yudhishthira,"one of the five Pandava brothers; son of Kunti and Yama, the god of dharma."
221,Yugas,"four ages of the world in this order: Satya, Treta, Dvapara, and Kali ."
222,Yuyutsu,"son of Dhritarashtra and Sughada, the maid of Gandhari."
